YEAR,COUNTY,FREQUENCY
1995,Adams,123
1995,Alexander,≤50
1995,Bond,≤50
1995,Boone,119
1995,Brown,≤50
1995,Bureau,57
1995,Calhoun,≤50
1995,Carroll,≤50
1995,Cass,≤50
1995,Champaign,424
1995,Christian,≤50
1995,Clark,≤50
1995,Clay,≤50
1995,Clinton,≤50
1995,Coles,92
1995,Cook,31162
1995,Crawford,≤50
1995,Cumberland,≤50
1995,DeKalb,209
1995,Dewitt,≤50
1995,Douglas,≤50
1995,DuPage,3242
1995,Edgar,≤50
1995,Edwards,≤50
1995,Effingham,≤50
1995,Fayette,≤50
1995,Ford,≤50
1995,Franklin,63
1995,Fulton,78
1995,Gallatin,≤50
1995,Greene,≤50
1995,Grundy,≤50
1995,Hamilton,≤50
1995,Hancock,≤50
1995,Hardin,≤50
1995,Henderson,≤50
1995,Henry,76
1995,Iroquois,≤50
1995,Jackson,162
1995,Jasper,≤50
1995,Jefferson,88
1995,Jersey,≤50
1995,Jo Daviess,≤50
1995,Johnson,≤50
1995,Kane,480
1995,Kankakee,110
1995,Kendall,52
1995,Knox,130
1995,Lake,913
1995,LaSalle,200
1995,Lawrence,≤50
1995,Lee,≤50
1995,Livingston,59
1995,Logan,≤50
1995,McDonough,103
1995,McHenry,404
1995,McLean,440
1995,Macon,230
1995,Macoupin,63
1995,Madison,787
1995,Marion,81
1995,Marshall,≤50
1995,Mason,≤50
1995,Massac,≤50
1995,Menard,≤50
1995,Mercer,≤50
1995,Monroe,≤50
1995,Montgomery,≤50
1995,Morgan,69
1995,Moultrie,≤50
1995,Ogle,88
1995,Peoria,676
1995,Perry,≤50
1995,Piatt,≤50
1995,Pike,≤50
1995,Pope,≤50
1995,Pulaski,≤50
1995,Putnam,≤50
1995,Randolph,≤50
1995,Richland,≤50
1995,Rock Island,116
1995,St. Clair,1049
1995,Saline,≤50
1995,Sangamon,426
1995,Schuyler,≤50
1995,Scott,≤50
1995,Shelby,≤50
1995,Stark,≤50
1995,Stephenson,53
1995,Tazewell,279
1995,Union,≤50
1995,Vermilion,152
1995,Wabash,≤50
1995,Warren,≤50
1995,Washington,≤50
1995,Wayne,≤50
1995,White,≤50
1995,Whiteside,80
1995,Will,568
1995,Williamson,72
1995,Winnebago,769
1995,Woodford,≤50
1996,Adams,98
1996,Alexander,≤50
1996,Bond,≤50
1996,Boone,91
1996,Brown,≤50
1996,Bureau,66
1996,Calhoun,≤50
1996,Carroll,≤50
1996,Cass,≤50
1996,Champaign,660
1996,Christian,≤50
1996,Clark,≤50
1996,Clay,≤50
1996,Clinton,57
1996,Coles,117
1996,Cook,32882
1996,Crawford,≤50
1996,Cumberland,≤50
1996,DeKalb,220
1996,Dewitt,≤50
1996,Douglas,≤50
1996,DuPage,2074
1996,Edgar,≤50
1996,Edwards,≤50
1996,Effingham,≤50
1996,Fayette,≤50
1996,Ford,≤50
1996,Franklin,56
1996,Fulton,63
1996,Gallatin,≤50
1996,Greene,≤50
1996,Grundy,72
1996,Hamilton,≤50
1996,Hancock,≤50
1996,Hardin,≤50
1996,Henderson,≤50
1996,Henry,71
1996,Iroquois,≤50
1996,Jackson,181
1996,Jasper,≤50
1996,Jefferson,68
1996,Jersey,≤50
1996,Jo Daviess,≤50
1996,Johnson,≤50
1996,Kane,712
1996,Kankakee,196
1996,Kendall,≤50
1996,Knox,146
1996,Lake,1022
1996,LaSalle,245
1996,Lawrence,≤50
1996,Lee,58
1996,Livingston,58
1996,Logan,53
1996,McDonough,106
1996,McHenry,442
1996,McLean,487
1996,Macon,294
1996,Macoupin,≤50
1996,Madison,761
1996,Marion,74
1996,Marshall,≤50
1996,Mason,≤50
1996,Massac,≤50
1996,Menard,≤50
1996,Mercer,≤50
1996,Monroe,≤50
1996,Montgomery,≤50
1996,Morgan,85
1996,Moultrie,≤50
1996,Ogle,93
1996,Peoria,764
1996,Perry,≤50
1996,Piatt,≤50
1996,Pike,≤50
1996,Pope,≤50
1996,Pulaski,≤50
1996,Putnam,≤50
1996,Randolph,≤50
1996,Richland,≤50
1996,Rock Island,90
1996,St. Clair,1013
1996,Saline,≤50
1996,Sangamon,476
1996,Schuyler,≤50
1996,Scott,≤50
1996,Shelby,≤50
1996,Stark,≤50
1996,Stephenson,62
1996,Tazewell,304
1996,Union,≤50
1996,Vermilion,211
1996,Wabash,≤50
1996,Warren,≤50
1996,Washington,≤50
1996,Wayne,≤50
1996,White,≤50
1996,Whiteside,90
1996,Will,710
1996,Williamson,91
1996,Winnebago,815
1996,Woodford,≤50
1997,Adams,112
1997,Alexander,≤50
1997,Bond,≤50
1997,Boone,93
1997,Brown,≤50
1997,Bureau,60
1997,Calhoun,≤50
1997,Carroll,≤50
1997,Cass,≤50
1997,Champaign,533
1997,Christian,≤50
1997,Clark,≤50
1997,Clay,≤50
1997,Clinton,59
1997,Coles,132
1997,Cook,30913
1997,Crawford,≤50
1997,Cumberland,≤50
1997,DeKalb,170
1997,DeWitt,≤50
1997,Douglas,≤50
1997,DuPage,1217
1997,Edgar,≤50
1997,Edwards,≤50
1997,Effingham,≤50
1997,Fayette,≤50
1997,Ford,≤50
1997,Franklin,55
1997,Fulton,72
1997,Gallatin,≤50
1997,Greene,≤50
1997,Grundy,72
1997,Hamilton,≤50
1997,Hancock,≤50
1997,Hardin,≤50
1997,Henderson,≤50
1997,Henry,54
1997,Iroquois,≤50
1997,Jackson,220
1997,Jasper,≤50
1997,Jefferson,69
1997,Jersey,≤50
1997,Jo Daviess,≤50
1997,Johnson,≤50
1997,Kane,432
1997,Kankakee,148
1997,Kendall,≤50
1997,Knox,121
1997,Lake,932
1997,LaSalle,212
1997,Lawrence,≤50
1997,Lee,52
1997,Livingston,≤50
1997,Logan,58
1997,McDonough,89
1997,McHenry,390
1997,McLean,429
1997,Macon,255
1997,Macoupin,71
1997,Madison,772
1997,Marion,85
1997,Marshall,≤50
1997,Mason,≤50
1997,Massac,≤50
1997,Menard,≤50
1997,Mercer,≤50
1997,Monroe,≤50
1997,Montgomery,≤50
1997,Morgan,58
1997,Moultrie,≤50
1997,Ogle,69
1997,Peoria,702
1997,Perry,≤50
1997,Piatt,≤50
1997,Pike,≤50
1997,Pope,≤50
1997,Pulaski,≤50
1997,Putnam,≤50
1997,Randolph,≤50
1997,Richland,≤50
1997,Rock Island,102
1997,St. Clair,1099
1997,Saline,≤50
1997,Sangamon,471
1997,Schuyler,≤50
1997,Scott,≤50
1997,Shelby,≤50
1997,Stark,≤50
1997,Stephenson,77
1997,Tazewell,286
1997,Union,≤50
1997,Vermilion,170
1997,Wabash,≤50
1997,Warren,≤50
1997,Washington,≤50
1997,Wayne,≤50
1997,White,≤50
1997,Whiteside,92
1997,Will,727
1997,Williamson,112
1997,Winnebago,852
1997,Woodford,≤50
1998,Adams,115
1998,Alexander,51
1998,Bond,≤50
1998,Boone,81
1998,Brown,≤50
1998,Bureau,61
1998,Calhoun,≤50
1998,Carroll,≤50
1998,Cass,≤50
1998,Champaign,537
1998,Christian,≤50
1998,Clark,≤50
1998,Clay,≤50
1998,Clinton,69
1998,Coles,125
1998,Cook,30271
1998,Crawford,≤50
1998,Cumberland,≤50
1998,DeKalb,192
1998,DeWitt,≤50
