County,"Births, 2008","Teens, 2008","Under 15, 2008 ","15-17, 2008","18-19, 2008","Teen Percent, 2008","Births, 2009","Teens, 2009","Under 15, 2009 ","15-17, 2009","18-19, 2009","Teen Percent, 2009"
Adams,817,83,0,24,59,10.2,804,89,1,21,67,11.1
Alexander,120,32,0,11,21,26.7,114,25,0,5,20,21.9
Bond,173,20,0,4,16,11.6,198,21,2,3,16,10.6
Boone,676,74,0,24,50,10.9,622,57,1,11,45,9.2
Brown,64,3,0,1,2,4.7,65,4,0,2,2,6.2
Bureau,409,30,0,9,21,7.3,381,40,0,11,29,10.5
Calhoun,59,2,0,0,2,3.4,53,6,0,3,3,11.3
Carroll,142,15,0,5,10,10.6,123,10,0,2,8,8.1
Cass,200,27,0,7,20,13.5,164,19,1,8,10,11.6
Champaign,2482,244,4,74,166,9.8,2407,204,2,66,136,8.5
Christian,403,60,1,17,42,14.9,406,55,0,15,40,13.5
Clark,200,28,1,8,19,14,157,15,0,2,13,9.6
Clay,164,27,0,6,21,16.5,178,21,0,8,13,11.8
Clinton,412,38,0,14,24,9.2,414,29,0,7,22,7
Coles,608,72,4,12,56,11.8,537,54,0,18,36,10.1
Cook,77717,8410,128,2895,5387,10.8,75744,7714,91,2533,5090,10.2
  Cook - City of Chicago * ,45389,5800,94,2026,3680,12.8,44449,5323,71,1765,3487,12
  Cook - Suburban Cook,32328,2610,34,869,1707,8.1,31295,2391,20,768,1603,7.6
Crawford,192,15,1,4,10,7.8,204,27,0,11,16,13.2
Cumberland,133,14,0,1,13,10.5,128,17,0,3,14,13.3
DeKalb,1274,79,0,20,59,6.2,1322,92,0,24,68,7
DeWitt,202,24,0,7,17,11.9,186,20,0,6,14,10.8
Douglas,298,23,0,5,18,7.7,270,23,0,6,17,8.5
DuPage,11312,482,3,135,344,4.3,10820,452,3,133,316,4.2
Edgar,192,27,0,9,18,14.1,203,21,1,5,15,10.3
Edwards,70,4,0,0,4,5.7,63,11,0,2,9,17.5
Effingham,416,48,1,10,37,11.5,480,44,0,11,33,9.2
Fayette,271,36,2,14,20,13.3,232,32,0,11,21,13.8
Ford,158,26,0,7,19,16.5,157,16,0,5,11,10.2
Franklin,476,78,1,24,53,16.4,476,51,0,19,32,10.7
Fulton,371,56,0,12,44,15.1,374,49,0,10,39,13.1
Gallatin,56,5,0,0,5,8.9,58,10,0,3,7,17.2
Greene,167,24,1,6,17,14.4,145,23,0,6,17,15.9
Grundy,695,29,0,8,21,4.2,705,49,0,12,37,7
Hamilton,110,12,0,2,10,10.9,90,10,0,0,10,11.1
Hancock,218,26,0,9,17,11.9,200,16,0,7,9,8
Hardin,47,5,0,4,1,10.6,43,5,1,1,3,11.6
Henderson,75,11,0,5,6,14.7,55,10,0,4,6,18.2
Henry,575,61,0,14,47,10.6,537,72,0,27,45,13.4
Iroquois,322,35,0,9,26,10.9,309,36,1,11,24,11.7
Jackson,703,81,0,20,61,11.5,691,71,1,18,52,10.3
Jasper,111,7,0,2,5,6.3,93,8,0,2,6,8.6
Jefferson,520,75,0,23,52,14.4,498,71,2,18,51,14.3
