"State","2009","2010","2011","2012","2013"
"Alabama",0.00204899685536045,0.00200627229133389,0.00186440685028369,0.00174004767481457,0.00162812593242459
"Alaska",0.00297469576975082,0.00257271743103591,0.0024753947971048,0.00240052852662261,0.00206953923235701
"Arizona",0.00162348257664878,0.00176988885684717,0.00213602162184562,0.00204652656927089,0.00202894748481308
"Arkansas",0.00166388030003697,0.00165948264798537,0.00150672241777749,0.00145186626156299,0.00133100660670039
"California",NA,9.08051483572639e-06,9.71418505379204e-06,8.81322111550965e-06,8.89521831930823e-06
"Colorado",0.00215900623366541,0.00202173098360669,0.00181386225275283,0.00175727046569787,0.00174177894575578
"Connecticut",0.00383260519169062,0.00373725627454853,0.0034825550510837,0.00330235864872649,0.00291712771096131
"Delaware",NA,0.00421197222543276,0.00383622417735405,0.00383754292562757,0.00321268215194593
"District of Columbia",0.00262398940948419,0.00273801478230552,0.00252869969394514,0.000358870314027265,0.00194557624024709
"Florida",NA,2.70039446980434e-05,2.26214109979435e-05,2.36247060869443e-05,1.87416805067424e-05
"Georgia",0.00314566931016254,0.0032414610520737,0.00303283558967387,0.00283206659063117,0.00275625146595803
"Hawaii",0.00248159041580377,0.00224569172510622,0.00192326673750094,0.00203043497003923,0.00139141588119569
"Idaho",0.00153174231989805,0.00136663674960694,0.00127576866482382,0.00121748643878011,0.0011234414653498
"Illinois",0.00329973685563663,0.00307524511395718,0.00300948397248774,0.0031580015473788,0.00294242674699066
"Indiana",0.00180932218149729,0.00170140241286995,0.00155866357297191,0.0014989882594039,0.00140643272094116
"Iowa",0.00169212659955751,0.00152192682557466,0.00138521732350305,0.00134154230230373,0.00124905803171482
"Kansas",0.00176050868710603,0.00157335991744932,0.0014713349315195,0.00136382761773454,0.00134297974191974
"Kentucky",0.00134327092841123,0.00128545285883336,0.00126197144932638,0.0012240013738372,0.00113714944993463
"Louisiana",0.00168713131572198,0.00175973752232125,0.00178388618797378,0.00184384292665315,0.00205148623055238
"Maine",0.00177122270775201,0.00169537481265016,0.00124978260558593,0.000754009910489542,0.00141978336829497
"Maryland",NA,0.000391460156749906,0.000336607397867377,0.000168600822018147,0.000254588966114209
"Massachusetts",0.00356756376912836,0.00310683503708158,0.00247946021149974,0.00261790012868714,0.00278717704724737
"Michigan",0.00223953908013369,0.00234391411992616,0.00234674971064314,0.00233219833486359,0.0026044092210694
"Minnesota",0.00225478929705978,0.00207732905905259,0.00197847570991979,0.00188837580165363,0.00174014274374871
"Mississippi",0.00209309666774144,0.00197318674541009,0.00187296728653445,0.00183755479581701,0.0017177832871089
"Missouri",0.00227039090850529,0.00202164133527726,0.00189977335482605,0.00181796606540794,0.00171115249430264
"Montana",0.00200918309481271,0.0019381390433063,0.00192319063238797,0.001820540471709,0.00162967286264411
"Nebraska",0.00132400425226032,0.001244227619886,0.00123488085163897,0.00115211036117959,0.001111016564101
"Nevada",0.00331214509072827,0.00265121977565065,0.00244778229967197,0.00245770762906598,0.0020427322944061
"New Hampshire",NA,7.06218979521168e-05,5.38501736478487e-05,4.01155934610069e-05,6.57751985163534e-05
"New Jersey",0.00333854828028958,0.00329303639400986,0.00303124798176003,0.00263230526130845,0.00249012210363178
"New Mexico",0.00265808851326737,0.00251506715563485,0.00211333765851236,0.00176457828642508,0.00187608533118997
"New York",0.00598894725899834,0.00576457636692739,0.00551222316890946,0.00518671622361106,0.00483608801382323
"North Carolina",0.00278319660394985,0.00272572776303587,0.00235530899869785,0.00216720918719395,0.00202284386974056
"North Dakota",0.00139254821284633,0.00143508182041908,0.00139319246771586,0.00145566005352613,0.00124168012165427
"Ohio",0.00239433159948706,0.00234286802086096,0.00208820853397159,0.00216304633801926,0.00199723042877533
"Oklahoma",0.00177938719142494,0.00165735584315684,0.0014280530146524,0.00134056264333698,0.00130022336638187
"Oregon",0.00259754240403298,0.00241763521456741,0.00230634139178305,0.00215638621677324,0.00198127695821768
"Pennsylvania",0.00299213901347911,0.00296861090044534,0.00286630258736205,0.00275018803064927,0.00254699468866249
"Rhode Island",0.00333318780691048,0.00330378596783366,0.00328186300359827,0.00286351708280266,0.00261340337862156
"South Carolina",0.00256259869556275,0.00258652878173869,0.00225718368450192,0.00220218778332302,0.0020549953501483
"South Dakota",0.00109408512552242,0.000976326830612807,0.000918245798752544,0.000901202122139253,0.000873453407533476
"Tennessee",0.00227560367325249,0.00209386328158245,0.00204982029293955,0.00199324296059096,0.00183145925037811
"Texas",0.00302244667223428,0.00297694807265479,0.00273777333721328,0.00254487104865418,0.00233486096014792
"Utah",0.00126605471574171,0.0012964242759229,0.00114554614782588,0.0011047762049064,0.0010449025601663
"Vermont",0.00199418389704505,0.00201283742983025,0.00205192028465208,0.00191078532159299,0.00186401760372485
"Virginia",0.00341713541250706,0.00322785107428281,0.00310911111974239,0.00270274295267801,0.00256901745823274
"Washington",0.00340086264174511,0.00312847292972236,0.00294334058383119,0.00265009442765183,0.00250789106668393
"West Virginia",0.00117384421804603,0.0012528111399341,0.00118222808753987,0.00109126556642392,0.00106462712959151
"Wisconsin",0.00169334149900234,0.00154931327427221,0.00143056304775783,0.00136146682158096,0.00129116986083923
"Wyoming",0.00139680022005855,0.00130023577844974,0.0010903166145581,0.00114084592511682,0.00102971765141998
