"State","2009","2010","2011","2012","2013"
"Alabama",1387.12378951716,1342.64828231139,1303.94538299545,1298.05677639699,1277.02484065409
"Alaska",247.036013975763,223.992393401171,222.778445671909,233.409944808273,218.230526688088
"Arizona",1309.23988624616,1493.89212578577,1971.86994229942,1907.89746552841,2016.90157803246
"Arkansas",583.810600623836,591.91459294117,552.222170494658,540.904663765251,561.379216928669
"California",NA,NA,NA,NA,NA
"Colorado",1478.39199695093,1464.11354520532,1434.1619176199,1426.20341276232,1534.98837358056
"Connecticut",1750.41204536387,1755.1077449125,1727.32027790481,1709.81365820031,1589.32024953532
"Delaware",NA,609.416039422661,519.49687945865,546.768516545361,457.832594610458
"District of Columbia",330.910986729144,378.240216495505,379.01090204047,373.999390731394,385.440261274617
"Florida",10442.0516991055,10436.6088465894,10566.0243016094,10891.1769038571,10945.690699617
"Georgia",4196.93537675542,4517.07109374898,4487.06187133894,4486.56248078158,4616.40341041637
"Hawaii",426.003281066563,400.18232850215,365.729089360583,403.890737830003,296.040997238255
"Idaho",210.324779700727,197.217792440681,197.173301639551,208.524325692685,206.942740824911
"Illinois",5873.41507531539,5467.1123005129,5658.32605343944,6178.92760144108,6133.03031899283
"Indiana",1345.69618139429,1312.34727049269,1247.66883648582,1259.72720212701,1230.97067433233
"Iowa",742.000328871474,705.151563832608,659.298227357248,664.760676145132,665.678358304424
"Kansas",1199.48859211142,1088.35487709152,1066.37893970057,1065.64797718532,1117.03928901999
"Kentucky",525.174601434543,513.158083774461,541.815801797016,544.909246151668,547.382362458329
"Louisiana",1041.04392473687,1158.75248644617,1226.17146957096,1319.36687552471,1501.57652742556
"Maine",307.584056616881,301.834647900937,242.769627643697,143.592882712933,291.826890516002
"Maryland",NA,NA,NA,NA,NA
"Massachusetts",2924.78913347465,2716.90365453712,2834.77698878029,2869.28327986739,2926.99812622755
"Michigan",2849.83703016312,3044.07621749335,3199.41067090954,3322.37317273051,3931.15955661577
"Minnesota",1579.09295208037,1502.64284902651,1515.76975635405,1530.46557560866,1490.5897491854
"Mississippi",310.770795703256,300.006138567049,304.523210309973,311.213259744365,326.593270974587
"Missouri",877.118066133759,804.935930339019,790.336317405199,804.348976471648,815.128643132887
"Montana",283.364839560434,282.112868656868,293.979915708414,290.475243814708,277.228020799627
"Nebraska",325.174856373669,321.817642764131,324.788244089593,328.804818084694,327.646797655151
"Nevada",1216.05963536057,1017.04301306992,986.688063621252,1032.32413089836,911.451082498664
"New Hampshire",NA,NA,NA,NA,NA
"New Jersey",3635.30448017275,3685.36056244947,3636.47815621055,3282.75641126489,3268.94278597605
"New Mexico",640.15214767094,624.174721903321,559.068465690476,503.00415189381,631.815000714893
"New York",15295.8377363445,15114.4581539109,15239.3054022746,14927.0808453673,14756.296703214
"North Carolina",3900.05876346875,4042.57292160527,3586.36327537716,3495.28531934399,3434.49697863598
"North Dakota",164.435736856932,168.614682146304,170.746602183694,190.217663354782,177.895505203669
"Ohio",3661.05333199065,3673.08342835051,3390.83308458461,3643.16882604237,3494.09648799356
"Oklahoma",819.62929301556,796.315814907837,741.590695610977,736.557117501598,754.47560709475
"Oregon",1376.7987548773,1304.77201753802,1309.97012276777,1289.4755284261,1247.2250859753
"Pennsylvania",4752.5752038557,4803.49402012144,4967.67179408535,4939.36633204567,4832.37637993182
"Rhode Island",551.43333150627,546.071251784429,570.296389811617,507.580817478286,489.287891215845
"South Carolina",880.942153037409,844.248881017592,873.450341082427,870.13854424849,884.661404050058
"South Dakota",98.0240942968843,96.2579556482,81.7447646380638,90.6751868924298,90.4527907169249
"Tennessee",2227.40315181243,2138.44166598098,2206.56094161206,2268.16685950638,2139.56218441232
"Texas",9895.46221101056,10117.2727522069,9904.12448207777,9754.16154771388,9507.02476540218
"Utah",467.175950062524,493.69752014952,463.631110660777,468.107076812181,466.862823301
"Vermont",168.132354197127,174.100210147966,185.534599806661,181.636415383889,183.163138606485
"Virginia",3498.01976033173,3388.35840350238,3479.69799622632,3277.46464168284,3138.30547758622
"Washington",2889.98994265144,2758.95936921652,2769.32640670827,2629.58041988046,2647.66305206679
"West Virginia",225.876066442235,261.085011317167,251.532885494344,261.442021513189,282.345150390934
"Wisconsin",1088.84501103249,1022.00610983333,992.575877489655,990.705078239528,972.555629971329
"Wyoming",NA,NA,NA,NA,NA
