"State","2009","2010","2011","2012","2013"
"Alabama",10882,10280,9523,9076,8485
"Alaska",1938,1715,1627,1632,1450
"Arizona",10271,11438,14401,13340,13401
"Arkansas",4580,4532,4033,3782,3730
"California",NA,NA,NA,NA,NA
"Colorado",11598,11210,10474,9972,10199
"Connecticut",13732,13438,12615,11955,10560
"Delaware",NA,4666,3794,3823,3042
"District of Columbia",2596,2896,2768,2615,2561
"Florida",81918,79908,77166,76151,72727
"Georgia",32925,34585,32770,31370,30673
"Hawaii",3342,3064,2671,2824,1967
"Idaho",1650,1510,1440,1458,1375
"Illinois",46077,41859,41324,43203,40750
"Indiana",10557,10048,9112,8808,8179
"Iowa",5821,5399,4815,4648,4423
"Kansas",9410,8333,7788,7451,7422
"Kentucky",4120,3929,3957,3810,3637
"Louisiana",8167,8872,8955,9225,9977
"Maine",2413,2311,1773,1004,1939
"Maryland",NA,NA,NA,NA,NA
"Massachusetts",22945,20802,20703,20062,19448
"Michigan",22357,23307,23366,23230,26120
"Minnesota",12388,11505,11070,10701,9904
"Mississippi",2438,2297,2224,2176,2170
"Missouri",6881,6163,5772,5624,5416
"Montana",2223,2160,2147,2031,1842
"Nebraska",2551,2464,2372,2299,2177
"Nevada",9540,7787,7206,7218,6056
"New Hampshire",NA,NA,NA,NA,NA
"New Jersey",28519,28217,26558,22953,21720
"New Mexico",5022,4779,4083,3517,4198
"New York",119996,115724,111296,104370,98046
"North Carolina",30596,30952,26192,24439,22820
"North Dakota",1290,1291,1247,1330,1182
"Ohio",28721,28123,24764,25473,23216
"Oklahoma",6430,6097,5416,5150,5013
"Oregon",10801,9990,9567,9016,8287
"Pennsylvania",37284,36778,36280,34536,32108
"Rhode Island",4326,4181,4165,3549,3251
"South Carolina",6911,6464,6379,6084,5878
"South Dakota",769,737,597,634,601
"Tennessee",17474,16373,16115,15859,14216
"Texas",77630,77463,72332,68201,63168
"Utah",3665,3780,3386,3273,3102
"Vermont",1319,1333,1355,1270,1217
"Virginia",27442,25943,25413,22916,20852
"Washington",22672,21124,20225,18386,17592
"West Virginia",1772,1999,1837,1828,1876
"Wisconsin",8542,7825,7249,6927,6462
"Wyoming",NA,NA,NA,NA,NA
