Year,Births to All Ages,Maternal Ages 10 - 14,Maternal Ages 15 - 17*,Maternal Ages 18 - 19*,Maternal Ages 15 - 19,Teen Births,Births to Teens Mothers Rate
2009,171077,186,5057,11133,16190,16376,9.6
2008,176634,256,5653,11744,17397,17653,10
2007,180530,260,5988,12066,18054,18314,10.1
2006,180503,275,6120,11632,17752,18027,10
2005,178872,319,5794,11241,17035,17354,9.7
2004,180665,295,5983,11541,17524,17819,9.9
2003,182393,276,5922,11472,17394,17670,9.7
2002,180555,318,6090,12138,18228,18546,10.3
2001,184022,344,6635,13113,19748,20092,10.9
2000,185003,392,7156,13560,20716,21108,11.4
1999,182027,422,7408,14003,21411,21833,12
1998,182503,462,8286,13884,22170,22632,12.4
1997,180649,463,8641,13542,22183,22646,12.5
1996,183079,508,8914,13909,22823,23331,12.7
1995,185801,579,9245,14222,23467,24046,12.9
1994,189182,645,9585,14438,24023,24668,13
1993,190709,630,9439,14326,23765,24395,12.8
1992,190923,663,9118,14820,23938,24601,12.9
1991,194066,656,9022,15613,24635,25291,13
1990,195499,632,9039,15874,24913,25545,13.1
1989,190247,647,9227,15049,24276,24923,13.1
1988,184708,619,8954,13596,22550,23169,12.5
1987,180441,575,8681,13137,21818,22393,12.4
1986,176567,529,8202,13349,21551,22080,12.5
1985,180657,587,8291,13752,22043,22630,12.5
1984,179216,536,8349,14404,22753,23289,13
1983,178820,516,8830,15002,23832,24348,13.6
1982,183564,553,9339,15674,25013,25566,13.9
1981,184897,579,9944,16937,26881,27460,14.9
1980,189941,609,10721,18453,29174,29783,15.7
1979,184184,614,,,29186,29800,16.2
1978,174397,587,,,28047,28634,16.4
1977,177148,602,,,29283,29885,16.9
1976,170181,698,,,29080,29778,17.5
1975,169248,757,,,30363,31120,18.4
1974,168991,728,,,30601,31329,18.5
1973,168992,723,,,31355,32078,19
1972,177848,777,,,32531,33308,18.7
1971,195311,734,,,33333,34067,17.4
1970,205203,704,,,34038,34742,16.9
1969,195699,674,,,31223,31897,16.3
1968,193261,634,,,30816,31450,16.3
1967,195644,516,,,30736,31252,16
1966,201284,512,,,31928,32440,16.1
1965,208063,468,,,29570,30038,14.4
1964,222259,441,,,28480,28921,13
1963,224787,429,,,27839,28268,12.6
1962,230484,374,,,29043,29417,12.8
1961,237051,372,,,29504,29876,12.6
1960,238760,302,,,28525,28827,12.1
1959,239871,279,,,27902,28181,11.7
